,VW_Portfolio
2014-01-31,-0.0418173196584259
2014-02-28,0.030860412447977114
2014-03-31,0.009731469240334717
2014-04-30,-0.00031727148870280136
2014-05-30,0.03120572161085047
2014-06-30,0.029098567788578847
2014-07-31,0.022193658028246185
2014-08-29,-0.00888651578756382
2014-09-30,-0.04503760200579974
2014-10-31,0.010639880492706779
2014-11-28,-0.01829044616532159
2014-12-31,-0.017857636425858848
2015-01-30,0.002161001340972669
2015-02-27,0.06196531272812326
2015-03-31,-0.0022969245685848546
2015-04-30,0.044141472996588244
2015-05-29,-0.0033137778769342756
2015-06-30,-0.03016815176952152
2015-07-31,-0.006371497441528786
2015-08-31,-0.08464062065921232
2015-09-30,-0.060577312338391164
2015-10-30,0.0919378561992786
2015-11-30,-0.012605793739476491
2015-12-31,0.009171501443096055
2016-01-29,-0.09529115885877378
2016-02-29,-0.024199092915281765
2016-03-31,0.08856217382428083
2016-04-29,0.03483085836490179
2016-05-31,-0.013138019794010568
2016-06-30,-0.02096977889253108
2016-07-29,0.07944148267066706
2016-08-31,0.00826425658201707
2016-09-30,0.016882859060075407
2016-10-31,0.015622419774682806
2016-11-30,-0.0056736391353200645
2016-12-30,0.007443396946070978
2017-01-31,0.03698226061924115
2017-02-28,0.02347058743475798
2017-03-31,0.006220183858706948
2017-04-28,0.003651027084839117
2017-05-31,0.008346891077774185
2017-06-30,0.01658658430126398
2017-07-31,0.029107411735494294
2017-08-31,-0.005153058980427837
2017-09-29,0.011983436029701972
2017-10-31,0.03215596151895141
2017-11-30,0.014033305892280981
2017-12-29,0.016954037580056085
2018-01-31,0.0432419505158187
2018-02-28,-0.025955873289747085
2018-03-30,-0.03520354320874153
2018-04-30,0.008904746671460205
2018-05-31,-0.013914991948131467
2018-06-29,-0.01446171929957647
2018-07-31,0.019597489952226405
2018-08-31,-0.016784710057855944
2018-09-28,0.016170031441287466
2018-10-31,-0.07653204497829828
2018-11-30,0.004560988218400692
2018-12-31,-0.053759890305102115
2019-01-31,0.07368547644067627
2019-02-28,0.007115757603790015
2019-03-29,0.004542749732182434
2019-04-30,0.023226188882768832
2019-05-31,-0.04214254807023168
2019-06-28,0.05200670534942123
2019-07-31,-0.0012384952725470544
2019-08-30,-0.037070447523018704
2019-09-30,0.04470024863702732
2019-10-31,0.04449203624164197
2019-11-29,0.0005172351890727041
2019-12-31,0.021743627683497288
2020-01-31,-0.016802485843631722
2020-02-28,-0.08896859621556494
2020-03-31,-0.13993951029231988
2020-04-30,0.07104603065710291
2020-05-29,0.03916564385219384
2020-06-30,0.026829387811878484
2020-07-31,-0.014685407302313703
2020-08-31,0.07130266421696058
2020-09-30,-0.03041608246635677
2020-10-30,-0.002569972816458904
2020-11-30,0.14910213712963305
2020-12-31,0.046573108113686756
2021-01-29,0.011640759124609702
2021-02-26,0.03773467123943047
2021-03-31,0.02462991393248836
2021-04-30,0.005226151418175647
2021-05-31,0.023614786444567895
2021-06-30,-0.013236141318290574
2021-07-30,-0.008357293137997806
2021-08-31,0.019507716732041266
2021-09-30,0.01621473779520617
2021-10-29,-0.0025762321819473195
2021-11-30,-0.04786247295818159
2021-12-31,0.040687625770489774
2022-01-31,-0.04277974003542873
2022-02-28,-0.0017553565983923136
2022-03-31,0.026852191375289866
2022-04-29,-0.07283849372147064
2022-05-31,0.02322260408206571
2022-06-30,-0.08336742732988109
2022-07-29,0.04547366905980693
2022-08-31,-0.020261011014429682
2022-09-30,-0.11357467298794553
2022-10-31,0.026056054754789726
2022-11-30,0.1256066441861725
2022-12-30,-0.0020597828408180363
2023-01-31,0.07970590478396204
2023-02-28,-0.040947675846513
2023-03-31,0.026226562192060612
2023-04-28,0.003239179135360461
2023-05-31,-0.000450185141506302
2023-06-30,0.046762656001687886
2023-07-31,0.04127772289504344
2023-08-31,-0.04136856875906175
2023-09-29,-0.019649248067766006
2023-10-31,-0.05387925913853049
2023-11-30,0.07563803103770828
2023-12-29,0.058762664739978196
2024-01-31,0.015983864073214525
2024-02-29,0.012769012440670474
2024-03-29,0.025056432406229824
2024-04-30,-0.02263805031534049
2024-05-31,0.02266082451485454
2024-06-28,-0.0035123576336480882
2024-07-31,0.04960181834475158
2024-08-30,0.011743942914898208
2024-09-30,0.031992307186969514
2024-10-31,-0.05119480232581148
2024-11-29,0.005878097824966777
2024-12-31,-0.02472617366859373
2025-01-31,0.0202623743393135
2025-02-28,-0.008614051856411132
2025-03-31,0.0019004522159090844
2025-04-30,0.048051072515589696
2025-05-30,0.0539932344387139
2025-06-30,0.022362303162585057
2025-07-31,-0.0006174441692723225
2025-08-29,0.05767448810529292
2025-09-30,0.026922957970693745
2025-10-31,0.01728410735113269
2025-11-28,0.002017118378940941
2025-12-31,0.014481036133879237
2026-01-30,0.05969006793084083
